,Location,Year,Population
0,AL,2009,4757938.0
1,AL,2007,4672840.0
2,AL,2008,4718206.0
3,AL,2005,4569805.0
4,AL,2006,4628981.0
5,AL,2004,4530729.0
6,AL,2003,4503491.0
7,AL,2001,4467634.0
8,AL,2002,4480089.0
9,AL,1999,4430141.0
10,AL,2000,4452173.0
11,AK,1999,624779.0
12,AK,2000,627963.0
13,AK,2001,633714.0
14,AK,2002,642337.0
15,AK,2003,648414.0
16,AK,2004,659286.0
17,AK,2005,666946.0
18,AK,2006,675302.0
19,AK,2007,680300.0
20,AK,2008,687455.0
21,AK,2009,698895.0
22,AZ,2009,6343154.0
23,AZ,2007,6167681.0
24,AZ,2008,6280362.0
25,AZ,2005,5839077.0
26,AZ,2006,6029141.0
27,AZ,2004,5652404.0
28,AZ,2003,5510364.0
29,AZ,2001,5273477.0
30,AZ,2002,5396255.0
31,AZ,1999,5023823.0
32,AZ,2000,5160586.0
33,AR,2000,2678588.0
34,AR,1999,2651860.0
35,AR,2002,2705927.0
36,AR,2001,2691571.0
37,AR,2004,2749686.0
38,AR,2003,2724816.0
39,AR,2006,2821761.0
40,AR,2005,2781097.0
41,AR,2008,2874554.0
42,AR,2007,2848650.0
43,AR,2009,2896843.0
44,CA,2009,36961229.0
45,CA,2007,36250311.0
46,CA,2008,36604337.0
47,CA,2005,35827943.0
48,CA,2006,36021202.0
49,CA,2003,35253159.0
50,CA,2004,35574576.0
51,CA,2001,34479458.0
52,CA,2002,34871843.0
53,CA,1999,33499204.0
54,CA,2000,33987977.0
55,CO,2000,4326921.0
56,CO,1999,4226018.0
57,CO,2002,4490406.0
58,CO,2001,4425687.0
59,CO,2004,4575013.0
60,CO,2003,4528732.0
61,CO,2006,4720423.0
62,CO,2005,4631888.0
63,CO,2008,4889730.0
64,CO,2007,4803868.0
65,CO,2009,4972195.0
66,CT,2009,3561807.0
67,CT,2007,3527270.0
68,CT,2008,3545579.0
69,CT,2005,3506956.0
70,CT,2006,3517460.0
71,CT,2003,3484336.0
72,CT,2004,3496094.0
73,CT,2001,3432835.0
74,CT,2002,3458749.0
75,CT,1999,3386401.0
76,CT,2000,3411777.0
77,DE,2000,786373.0
78,DE,1999,774990.0
79,DE,2002,806169.0
80,DE,2001,795699.0
81,DE,2004,830803.0
82,DE,2003,818003.0
83,DE,2006,859268.0
84,DE,2005,845150.0
85,DE,2008,883874.0
86,DE,2007,871749.0
87,DE,2009,891730.0
88,FL,1999,15759421.0
89,FL,2000,16047515.0
90,FL,2001,16356966.0
91,FL,2002,16689370.0
92,FL,2003,17004085.0
93,FL,2004,17415318.0
